N,Time,Mflops,GBs
9,1.7720189999999998,1363.37095,21.8139352
19,1.670107,3053.860625,48.86177
40,1.350091,3976.553579,63.624857264
85,1.205822,4730.593307,75.689492912
180,1.130042,5344.754755,85.51607608
378,1.148801,5520.353099,88.325649584
794,1.2100629999999999,5504.304204,88.068867264
1667,1.1718540000000002,2983.2661120000002,47.732257792000006
3502,1.235782,2971.4896519999998,47.543834432
7355,1.465514,2631.253189,42.100051024
15447,1.3250709999999999,1527.970227,24.447523632
32439,1.414168,1503.302383,24.052838127999998
68122,1.483196,1505.007879,24.080126064
143056,1.5738379999999998,1489.244453,23.827911248
300419,1.647766,1493.557116,23.896913855999998
630880,1.0381209999999998,1244.596977,19.913551631999997
1324849,1.02895,659.2377700000001,10.547804320000001
2782184,1.058159,673.0927849999999,10.769484559999999
5842587,1.1341450000000002,659.396393,10.550342288
12269432,1.239925,633.299358,10.132789728
25765808,1.205754,683.8093240000001,10.940949184
54108198,1.3555059999999999,638.6775150000001,10.218840240000002
113627216,1.3929690000000001,652.575756,10.441212096
